UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage,PUI,LUI,EUI,EAL
50.13,94.6,35.28,16.75,100.0,0.56,8710000,17.82,1785,3323,56.48,211400,10327,41.53,2022,21460694.6494698,1026.59,523.55814588207,11.6967748037,175.787116797568,27.5093355402,2899.0,434786.0,98.26,0.56,0.0994083470514186,0.8218,11.6967748037
357.53,551.38,16.96,14.17,100.0,0.671,67450000,8.17,2867,8700,86.96,220100,20557,43.7,2022,49218668.432619,2223.35,409.538699967249,17.1519330314,231.355443025344,29.5160188479,43039.0,279289.0,96.81,0.671,0.10815537286569052,0.9183,17.1519330314
123.14,195.92,23.34,14.06,100.0,0.5278,15180000,13.96,8694,12858,48.3,220200,27716,43.37,2022,37675589.0014918,850.31,577.297952714011,8.58246753247,105.239122609674,26.3030029463,3518.0,504221.0,99.73,0.5278,0.030679390965507286,0.8604,8.58246753247
44.91,66.2,13.93,12.12,100.0,0.4242,5820000,33.93,504,4055,68.14,220300,14414,43.09,2022,15635199.1006271,704.6,432.382801328268,12.3771998436,147.675646093037,27.8084906013,2954.0,42026.0,99.26,0.4242,0.04888303038712363,0.6607000000000001,12.3771998436
39.92,65.36,7.56,17.78,100.0,0.5134,5910000,12.52,1526,18582,77.05,220500,15559,44.77,2022,13334893.2059932,439.54,574.377794255386,7.7901877572,100.901779505011,24.1092509867,12323.0,57840.0,99.43,0.5134,0.0282498875249052,0.8748,7.7901877572
34.71,39.53,12.5,12.56,100.0,0.7995,5420000,13.65,345,2186,61.44,220600,17434,40.49,2022,5652464.16927631,208.57,610.867683466728,4.35549813379,50.1095042835176,21.8601506877,4107.0,74175.0,95.72,0.7995,0.011963404841115062,0.8634999999999999,4.35549813379
39.41,54.28,20.0,12.56,100.0,0.4793,8730000,29.17,973,10317,73.06,220700,21160,45.63,2022,9334954.6049355,1621.22,375.052838357215,10.0025974026,88.0036137612027,27.6638973498,1401.0,-7869.0,99.99,0.4793,0.07661720226843101,0.7082999999999999,10.0025974026
23.33,47.63,31.13,14.23,100.0,0.4339,5750000,29.22,799,332,88.67,220800,25756,42.39,2022,12170842.070035,2372.34,310.34276428658,6.80651802362,50.555451017288,23.5019657808,9098.0,31904.0,96.96,0.4339,0.0921082466221463,0.7078,6.80651802362
399.89,500.44,16.72,10.37,100.0,0.558,54900000,12.24,2137,6586,97.86,230100,53076,33.15,2022,44352111.8662791,2413.65,525.276603501486,9.05524154043,127.425094523308,28.8644610537,103930.0,46064.0,95.59,0.558,0.04547535609314945,0.8775999999999999,9.05524154043
102.9,130.96,12.0,16.42,100.0,0.379110251450677,13180000,31.3,2482,11776,73.21,230200,42259,43.31,2022,24764379.7120084,2348.32,382.369976743516,9.43961112688,77.8054676258993,21.7234703486,18760.0,5478.0,93.53,0.379110251450677,0.05556970112875364,0.687,9.43961112688
61.0,49.04,13.39,16.95,100.0,0.655495932964666,6650000,34.26,1722,827,11.03,230300,22466,40.2,2022,8620991.51393672,591.74,484.403114176905,5.54155186206,52.7580679746971,24.3792631321,12551.0,45806.0,98.77,0.655495932964666,0.026339357250957002,0.6574,5.54155186206
113.5,256.42,27.07,15.36,100.0,0.7286,29890000,8.66,3755,4359,55.23,230600,21193,43.98,2022,27183376.7577618,3012.15,352.542980224445,12.7855053317,85.8237187561228,25.3403286632,18181.0,112760.0,79.04,0.7286,0.14212947671400936,0.9134,12.7855053317
41.44,97.21,21.04,40.84,100.0,0.869,3430000,37.53,359,7542,10.87,230700,32792,43.19,2022,12398704.6403445,356.17,559.231483906665,2.40921549519,21.3920846836692,19.5356210507,3762.0,4042.0,99.9,0.869,0.010861490607465236,0.6247,2.40921549519
54.71,96.1,12.31,15.23,100.0,0.521,8690000,45.73,427,3876,59.39,230800,32702,44.0,2022,15676177.9460992,960.25,420.198798975811,7.99232045217,48.4509296136879,23.5367812162,24110.0,18997.0,100.0,0.521,0.02936364748333435,0.5427,7.99232045217
35.66,51.69,12.37,15.34,100.0,0.615,2690000,16.21,225,1343,84.29,230900,6189,46.17,2022,12022035.3034889,239.13,496.696081943356,9.07718978102,94.2079504787697,24.0262214273,7829.0,5945.0,95.29,0.615,0.03863790596219098,0.8379,9.07718978102
55.04,72.4,17.25,11.52,100.0,0.6,9260000,25.01,593,5897,64.87,231000,38796,33.61,2022,11472934.2033568,732.2,615.81758539643,4.05711342861,46.732206279301,21.8387933566,17538.0,-21637.0,93.76,0.6,0.018873079698938037,0.7499,4.05711342861
