UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage
42.86,111.79,17.12,13.34,100.0,0.592,33526045,4.32,20636,29487,96.01,330400,4921,43.69,2014,35613328.7387022,689.99,528.277457859504,31.9329852045,853.23776744186,59.3913966053,140870.0,38233.0,90.37
53.06,99.17,24.97,16.57,98.94,0.574,19559985,6.15,10020,31655,96.59,330500,5816,48.4,2014,17692948.850322,523.54,607.949669171241,14.6793067948,372.223264064876,59.1042192144,69814.0,-98838.0,91.98
96.23,191.74,17.98,13.28,100.0,0.621,42658839,4.55,26341,36206,97.2,330600,8275,43.58,2014,17563068.4732317,835.51,671.042219517145,14.6130902065,473.913684605992,50.5304803303,184555.0,32964.0,87.89
47.4,78.48,26.38,11.48,99.85,0.633,32082030,4.32,7627,39514,97.2,330700,10946,37.78,2014,48423009.6895901,936.87,687.359838502798,11.7587912088,373.716007120361,49.0396087096,133838.0,48245.0,86.21
29.39,68.91,31.07,14.56,100.0,0.49,11150977,7.41,12478,66791,94.55,330800,8844,41.94,2014,27621296.0826288,388.3,715.670738297423,3.70742456775,183.573163481953,47.4285791679,58557.0,15504.0,80.05
50.19,61.42,18.23,13.0,100.0,0.663,10152567,9.94,2150,5006,99.8,330900,1324,38.79,2014,15280870.1083525,177.87,785.275246710526,25.990135635,683.29700446144,40.3850738032,44763.0,14200.0,63.26
97.35,127.5,27.77,12.07,100.0,0.595,33873783,6.37,6822,12368,95.32,331000,9663,44.62,2014,31298679.7824317,820.94,799.953842105267,13.2848192771,486.853196972137,41.3885698543,98099.0,441785.0,88.92
15.3,34.38,12.59,10.9,99.98,0.552,10517517,8.42,6127,15637,95.34,331100,17275,45.09,2014,6722614.99033839,231.56,803.981768793881,2.2296819788,94.2919807186678,39.0566075027,46070.0,2675.0,81.09
201.41,402.0,16.4,13.32,100.0,0.691,51805600,4.87,6920,106284,93.02,340100,11425,45.09,2014,78072593.9607024,1254.66,507.038838448924,9.79449189472,475.081671657005,70.2786044878,290529.0,41374.0,87.59
102.07,160.0,25.94,12.59,95.88,0.607,23095488,5.11,3900,58660,93.32,340200,6002,39.34,2014,34126990.6142114,493.53,525.878124487673,10.99900183,437.946153846154,64.7249073487,342871.0,75249.0,89.96
80.09,127.22,19.24,12.79,75.79,0.509,11511949,15.49,3037,14339,94.87,340300,5953,38.88,2014,8441480.7806912,909.86,529.130460423091,6.44036235531,390.497160807056,73.2034715318,76245.0,56938.0,93.1
105.97,106.0,13.92,12.17,97.59,0.679,7893187,8.8,10650,24452,89.1,340400,5531,39.72,2014,72255832.8524136,777.57,513.411736918606,9.57728421813,458.857124148769,74.1415725744,23349.0,-260466.0,87.94
59.01,92.0,17.67,15.39,94.59,0.639,13331200,5.78,7338,100810,71.06,340500,4065,43.78,2014,57435535.1708708,387.97,499.206269854538,12.6320987654,403.098670021567,66.9467342777,57483.0,94276.0,87.83
80.43,80.25,13.32,14.96,100.0,0.598,7596370,7.63,2277,23674,92.77,340600,2742,44.76,2014,22877196.8189383,589.63,485.282188470832,12.9264652348,547.758190327613,76.6700015865,16653.0,116930.0,90.18
37.81,69.17,11.54,14.79,100.0,0.787,7163100,1.76,5693,29668,83.16,340700,3000,46.71,2014,32841472.7660207,214.45,563.755099255584,6.59262981575,401.045778981048,62.4723728346,73924.0,1357294.0,90.14
62.55,85.0,17.04,13.19,94.84,0.422,15443170,13.75,4661,27399,96.54,340800,13508,42.2,2014,18343838.9824541,471.63,630.254547520453,2.03214814815,248.132412362127,54.7065342289,61902.0,237313.0,86.01
32.46,62.61,21.05,14.98,100.0,0.47,5071697,10.77,644,2640,74.79,341000,9678,46.49,2014,3816047.08522653,131.54,741.261064860248,0.897634541886,106.059220619822,45.6731496421,35777.0,200.0,92.13
